id,name
nm0634240,Christopher Nolan
nm0021249,Roger Allers
nm0591450,Rob Minkoff
nm0001008,Frank Capra
nm7882203,Kiranraj K
nm0000709,Robert Zemeckis
nm0000229,Steven Spielberg
nm4318159,Nitesh Tiwari
nm0001392,Peter Jackson
nm1690966,Joaquim Dos Santos
nm5358492,Kemp Powers
nm1042511,Justin K. Thompson
nm2371802,Thomas Kail
nm0000905,Roberto Benigni
nm0006498,Majid Majidi
nm1999473,Shoojit Sircar
nm0594503,Hayao Miyazaki
nm1018493,Rakeysh Omprakash Mehra
nm0002045,Stanley Donen
nm0000037,Gene Kelly
nm0000399,David Fincher
nm0000154,Mel Gibson
nm0619923,Olivier Nakache
nm0865918,Éric Toledano
nm2380725,Hanu Raghavapudi
nm0001129,Jonathan Demme
nm0332950,Ashutosh Gowariker
nm0223606,Tigmanshu Dhulia
nm0000122,Charles Chaplin
nm0002031,Michael Curtiz
nm2130108,Bob Persichetti
nm0709056,Peter Ramsey
nm0745247,Rodney Rothman
nm0015295,Zoya Akhtar
nm0905154,Lana Wachowski
nm0905152,Lilly Wachowski
nm0094435,Bong Joon Ho
nm0003506,James Mangold
nm8631915,Can Ulkay
nm0868153,Giuseppe Tornatore
nm0881279,Lee Unkrich
nm2937122,Adrian Molina
nm0000814,John G. Avildsen
nm0449984,Irvin Kershner
nm0000217,Martin Scorsese
nm0836328,John Sturges
nm0936404,Robert Wise
nm0004056,Andrew Stanton
nm0386570,Oliver Hirschbiegel
nm0281808,Victor Fleming
nm0896542,King Vidor
nm0000108,Luc Besson
nm0005124,John Lasseter
nm1464314,Sudha Kongara
nm0000165,Ron Howard
nm0386246,Rajkumar Hirani
nm2336554,Aditya Dhar
nm0640334,Gavin O'Connor
nm0230032,Pete Docter
nm0677037,Bob Peterson
nm0802693,Ramesh Sippy
nm0000040,Stanley Kubrick
nm4242320,C. Prem Kumar
nm0001741,Bryan Singer
nm0000184,George Lucas
nm0000142,Clint Eastwood
nm2588606,Steve McQueen
nm1396121,Makoto Shinkai
nm0000033,Alfred Hitchcock
nm0611531,Hrishikesh Mukherjee
nm0451148,Aamir Khan
nm1244760,Amole Gupte
nm0000116,James Cameron
nm0001814,Gus Van Sant
nm0313623,Terry George
nm3227090,Damien Chazelle
nm0655053,Sergio Pablos
nm3582089,Carlos Martínez López
nm0000041,Akira Kurosawa
nm0327273,Michel Gondry
nm0000697,Billy Wilder
nm0024912,Shimit Amin
nm0661791,Park Chan-wook
nm0873779,Gary Trousdale
nm0936374,Kirk Wise
nm0002160,Moustapha Akkad
nm0462030,Masaki Kobayashi
nm0001789,Andrei Tarkovsky
nm0166256,Ron Clements
nm0680846,Todd Phillips
nm0615780,John Musker
nm0000466,Jean-Pierre Jeunet
nm0422484,Norman Jewison
nm0744035,Robert Rossen
nm0003433,Carl Theodor Dreyer
nm0000631,Ridley Scott
nm0783139,Henry Selick
nm14112827,Mathur Goswami
nm3109770,Neeraj Pandey
nm0006452,Stanley Kramer
nm0000484,John Landis
nm0393799,Tom Hooper
nm0004716,Darren Aronofsky
nm0001351,George Roy Hill
nm1463981,Çagan Irmak
nm0945724,Takashi Yamazaki
nm0001885,Lars von Trier
nm0459552,Elem Klimov
nm0002030,George Cukor
nm0939992,Sam Wood
nm0000231,Oliver Stone
nm0945026,Boaz Yakin
nm0012541,Nikkhil Advani
nm0000277,Richard Attenborough
nm0751102,David O. Russell
nm0005008,Brian Henson
nm0002728,Juan José Campanella
nm0003697,Florian Henckel von Donnersmarck
nm1749112,Vincent Paronnaud
nm2277869,Marjane Satrapi
nm0946734,David Yates
nm0835799,Mel Stuart
nm0262693,David Mickey Evans
nm0751577,Anthony Russo
nm0751648,Joe Russo
nm0000338,Francis Ford Coppola
nm0002044,Roger Donaldson
nm4377096,T.J. Gnanavel
nm0001104,Frank Darabont
nm0001486,Sidney Lumet
nm0000118,John Carpenter
nm0000233,Quentin Tarantino
nm0000591,Roman Polanski
nm0001466,Sergio Leone
nm0847223,Isao Takahata
nm9751348,Rahi Anil Barve
nm1628153,Anand Gandhi
nm4205110,Adesh Prasad
nm0001243,William Friedkin
nm0167241,Henri-Georges Clouzot
nm0000736,Robert Aldrich
nm0000583,Wolfgang Petersen
nm0927468,Robert Wiene
nm0576987,Fernando Meirelles
nm0526199,Kátia Lund
nm0942367,Edgar Wright
nm0003638,F.W. Murnau
nm0178260,Merian C. Cooper
nm0774325,Ernest B. Schoedsack
nm0898288,Denis Villeneuve
nm1443502,Jordan Peele
nm0549658,Richard Marquand
nm0443411,Tony Kaye
nm0001532,John McTiernan
nm0000180,David Lean
nm0019247,Tomas Alfredson
nm0001681,George A. Romero
nm1218281,Jon Watts
nm3315387,Vishnuvardhan
nm0115218,Tod Browning
nm7992231,Lokesh Kanagaraj
nm0868219,Guillermo del Toro
nm0006765,Vidhu Vinod Chopra
nm0715346,Carol Reed
nm0001232,Milos Forman
nm0268380,Peter Farrelly
nm0909825,Raoul Walsh
nm0001379,John Huston
nm0003836,Michael Powell
nm0696247,Emeric Pressburger
nm0000406,John Ford
nm0001452,Charles Laughton
nm0155280,Kaige Chen
nm0000080,Orson Welles
nm0000005,Ingmar Bergman
nm0869664,Jacques Tourneur
nm0327944,Alejandro G. Iñárritu
nm0533241,Alexander Mackendrick
nm0000126,Kevin Costner
nm0001328,Howard Hawks
