id,name
nm0000288,Christian Bale
nm0005132,Heath Ledger
nm0001173,Aaron Eckhart
nm0000704,Elijah Wood
nm0001557,Viggo Mortensen
nm0005212,Ian McKellen
nm0089217,Orlando Bloom
nm0000138,Leonardo DiCaprio
nm0330687,Joseph Gordon-Levitt
nm0680983,Elliot Page
nm0000206,Keanu Reeves
nm0000401,Laurence Fishburne
nm0005251,Carrie-Anne Moss
nm0000434,Mark Hamill
nm0000148,Harrison Ford
nm0000402,Carrie Fisher
nm1421814,Suriya
nm0712546,Paresh Rawal
nm0882219,Urvashi
nm4271336,Shameik Moore
nm2794962,Hailee Steinfeld
nm3109964,Brian Tyree Henry
nm0000216,Arnold Schwarzenegger
nm0000157,Linda Hamilton
nm0000411,Edward Furlong
nm0001536,Toshirô Mifune
nm0793766,Takashi Shimura
nm0875477,Keiko Tsushima
nm0619938,Tatsuya Nakadai
nm0410968,Akira Ishihama
nm0412615,Shima Iwashita
nm4921260,Dulquer Salmaan
nm7021807,Mrunal Thakur
nm8612305,Rashmika Mandanna
nm0000128,Russell Crowe
nm0001618,Joaquin Phoenix
nm0001567,Connie Nielsen
nm0000606,Jean Reno
nm0000198,Gary Oldman
nm0000204,Natalie Portman
nm4947538,Minami Hamabe
nm1126340,Ryunosuke Kamiki
nm2747232,Sakura Ando
nm0000261,Karen Allen
nm0293550,Paul Freeman
nm0158856,Choi Min-sik
nm0949167,Yoo Ji-tae
nm1367246,Kang Hye-jeong
nm0000375,Robert Downey Jr.
nm0262635,Chris Evans
nm0749263,Mark Ruffalo
nm0000142,Clint Eastwood
nm0908919,Eli Wallach
nm0001812,Lee Van Cleef
nm5756214,Rakshit Shetty
nm9321681,Charlie
nm10816239,Sangeetha Sringeri
nm0000190,Matthew McConaughey
nm0004266,Anne Hathaway
nm1567113,Jessica Chastain
nm0153738,Daveigh Chase
nm0687189,Suzanne Pleshette
nm0997115,Miyu Irino
nm0000150,Michael J. Fox
nm0000502,Christopher Lloyd
nm0000670,Lea Thompson
nm0000111,Matthew Broderick
nm0000460,Jeremy Irons
nm0000469,James Earl Jones
nm0000093,Brad Pitt
nm1208167,Diane Kruger
nm0744834,Eli Roth
nm2159926,Jake Johnson
nm0000244,Sigourney Weaver
nm0000299,Michael Biehn
nm0001343,Carrie Henn
nm0851302,Tsutomu Tatsumi
nm0794186,Ayano Shiraishi
nm0945312,Akemi Yamaguchi
nm4759838,Mone Kamishiraishi
nm6954008,Ryo Narita
nm5645519,Anthony Gonzalez
nm0305558,Gael García Bernal
nm0000973,Benjamin Bratt
nm0123785,Ben Burtt
nm2264184,Elissa Knight
nm0307531,Jeff Garlin
nm0000158,Tom Hanks
nm0000741,Tim Allen
nm0725543,Don Rickles
nm0559444,Yôji Matsuda
nm0410942,Yuriko Ishida
nm0849100,Yûko Tanaka
nm0000799,Edward Asner
nm2973712,Jordan Nagai
nm0001652,John Ratzenberger
nm0000349,Joan Cusack
nm0005403,Jason Schwartzman
nm0799777,J.K. Simmons
nm0429069,Rashida Jones
nm0047962,Chieko Baishô
nm0454120,Takuya Kimura
nm0309107,Tatsuya Gashûin
nm0000983,Albert Brooks
nm0001122,Ellen DeGeneres
nm1071252,Alexander Gould
nm5137121,Natsuki Hanae
nm6981978,Akari Kitô
nm4303311,Yoshitsugu Matsuoka
nm0688132,Amy Poehler
nm0352778,Bill Hader
nm0085400,Lewis Black
nm0004951,Brad Garrett
nm0738918,Lou Romano
nm0652663,Patton Oswalt
nm0059431,Jay Baruchel
nm0124930,Gerard Butler
nm2395586,Christopher Mintz-Plasse
nm0000345,Billy Crystal
nm0000422,John Goodman
nm0316701,Mary Gibbs
nm5447706,Vikrant Massey
nm10791162,Medha Shankar
nm9744869,Joshi Anantvijay
nm0000553,Liam Neeson
nm0000146,Ralph Fiennes
nm0001426,Ben Kingsley
nm0000134,Robert De Niro
nm0000501,Ray Liotta
nm0000582,Joe Pesci
nm0534856,Madhavan
nm0801264,Simran
nm0438496,Rajit Kapoor
nm0004778,Adrien Brody
nm0470981,Thomas Kretschmann
nm0277975,Frank Finlay
nm0167388,François Cluzet
nm1082477,Omar Sy
nm0494504,Anne Le Ny
nm0614165,Cillian Murphy
nm1289434,Emily Blunt
nm0000354,Matt Damon
nm0000719,F. Murray Abraham
nm0001371,Tom Hulce
nm0000931,Elizabeth Berridge
nm5817249,Vicky Kaushal
nm0779785,Shaun Scott
nm0389621,Stephen Hogan
nm0000154,Mel Gibson
nm0000521,Sophie Marceau
nm0001526,Patrick McGoohan
nm0592135,Lin-Manuel Miranda
nm5623883,Phillipa Soo
nm1502434,Leslie Odom Jr.
nm0000564,Peter O'Toole
nm0000027,Alec Guinness
nm0000063,Anthony Quinn
nm0451148,Aamir Khan
nm2799219,Sakshi Tanwar
nm0760778,Fatima Sana Shaikh
nm3289096,Sidharth Malhotra
nm6442009,Kiara Advani
nm3109407,Shiv Panditt
nm1002038,Çetin Tekindor
nm1385304,Ismail Hacioglu
nm2349707,Lee Kyung-jin
nm1706767,Jonah Hill
nm3053338,Margot Robbie
nm0991810,Mahershala Ali
nm0004802,Linda Cardellini
nm0000438,Ed Harris
nm0000124,Jennifer Connelly
nm0004486,Bruno Ganz
nm0487884,Alexandra Maria Lara
nm0559890,Ulrich Matthes
nm0000164,Anthony Hopkins
nm0000457,John Hurt
nm0000843,Anne Bancroft
nm0000905,Roberto Benigni
nm0000971,Nicoletta Braschi
nm0134493,Giorgio Cantarini
nm0000122,Charles Chaplin
nm0002104,Paulette Goddard
nm0074788,Henry Bergman
nm0156039,Virginia Cherrill
nm5681967,Florence Lee
nm1587175,Mona Singh
nm0000634,Peter Sellers
nm0001715,George C. Scott
nm0001330,Sterling Hayden
nm0642988,Jack Oakie
nm0000493,Jack Lemmon
nm0000511,Shirley MacLaine
nm0534045,Fred MacMurray
nm0851582,Audrey Tautou
nm0440913,Mathieu Kassovitz
nm0749363,Rufus
nm0000037,Gene Kelly
nm0640307,Donald O'Connor
nm0001666,Debbie Reynolds
nm0000056,Paul Newman
nm0000602,Robert Redford
nm0001727,Robert Shaw
nm3818286,Sushant Singh Rajput
nm3601766,Shraddha Kapoor
nm5607349,Varun Sharma
nm0000008,Marlon Brando
nm0000199,Al Pacino
nm0001001,James Caan
nm0000380,Robert Duvall
nm0000020,Henry Fonda
nm0002011,Lee J. Cobb
nm0000842,Martin Balsam
nm0000237,John Travolta
nm0000235,Uma Thurman
nm0000168,Samuel L. Jackson
nm7934649,Lijo Mol Jose
nm8904193,Manikandan K.
nm0003817,Michael Clarke Duncan
nm0001556,David Morse
nm0000151,Morgan Freeman
nm0000228,Kevin Spacey
nm0000149,Jodie Foster
nm0001277,Scott Glenn
nm1179105,Alexandre Rodrigues
nm1129884,Leandro Firmino
nm0618690,Matheus Nachtergaele
nm0000197,Jack Nicholson
nm0000321,Gabriel Byrne
nm0001590,Chazz Palminteri
nm0001570,Edward Norton
nm0000350,Beverly D'Angelo
nm5939164,Zazie Beetz
nm0000061,Tyrone Power
nm0000017,Marlene Dietrich
nm0001452,Charles Laughton
nm0755403,Yutaka Sada
nm1912683,Karthi
nm1230844,Narain
nm10183124,Arjun Das
nm0000209,Tim Robbins
nm0348409,Bob Gunton
nm0000705,Robin Wright
nm0000641,Gary Sinise
nm0001533,Meat Loaf
nm0001221,Louise Fletcher
nm0077720,Michael Berryman
nm0000071,James Stewart
nm0001656,Donna Reed
nm0000859,Lionel Barrymore
nm2594301,Darsheel Safary
nm2540053,Tanay Chheda
nm0619870,Mohammad Amir Naji
nm0268488,Amir Farrokh Hashemian
nm0781245,Bahare Seddiqi
nm0701012,Edna Purviance
nm0001067,Jackie Coogan
nm0476334,Fikret Kuskan
nm0406157,Hümeyra
nm0000267,Julie Andrews
nm0001626,Christopher Plummer
nm0662223,Eleanor Parker
nm0000023,Judy Garland
nm0604656,Frank Morgan
nm0001961,Ray Bolger
nm0705356,Daniel Radcliffe
nm0914612,Emma Watson
nm0342488,Rupert Grint
nm4043618,Tom Holland
nm3918035,Zendaya
nm1212722,Benedict Cumberbatch
nm1419440,Ivana Baquero
nm0317725,Ariadna Gil
nm0530365,Sergi López
nm0000034,William Holden
nm0841797,Gloria Swanson
nm0002233,Erich von Stroheim
nm0001766,Barbara Stanwyck
nm0000064,Edward G. Robinson
nm0000080,Orson Welles
nm0001072,Joseph Cotten
nm0885098,Alida Valli
nm0000059,Laurence Olivier
nm0000021,Joan Fontaine
nm0001695,George Sanders
nm0000018,Kirk Douglas
nm0012443,Jan Sterling
nm0037816,Robert Arthur
nm0000010,James Cagney
nm0562920,Virginia Mayo
nm0639529,Edmond O'Brien
nm0000007,Humphrey Bogart
nm0000802,Mary Astor
nm0313438,Gladys George
nm0000053,Robert Mitchum
nm0001859,Shelley Winters
nm0001273,Lillian Gish
nm0000032,Charlton Heston
nm0001463,Janet Leigh
nm0339452,Jane Greer
nm0000044,Burt Lancaster
nm0000348,Tony Curtis
nm0365893,Susan Harrison
nm0000002,Lauren Bacall
nm0725891,John Ridgely
nm0335048,Farley Granger
nm0908153,Robert Walker
nm0738746,Ruth Roman
nm0000026,Cary Grant
nm0000006,Ingrid Bergman
nm0001647,Claude Rains
nm0336531,Coleen Gray
nm0250436,Vince Edwards
nm0000074,Gene Tierney
nm0000763,Dana Andrews
nm0916067,Clifton Webb
nm0002108,Gloria Grahame
nm0522481,Frank Lovejoy
nm0001076,Joan Crawford
nm0007217,Jack Carson
nm0779923,Zachary Scott
nm0001229,Glenn Ford
nm0104720,Jocelyn Brando
nm0001537,Ray Milland
nm0943837,Jane Wyman
nm0856062,Phillip Terry
nm0000537,Steve McQueen
nm0001258,James Garner
nm0000277,Richard Attenborough
nm3741768,Mohit Raina
nm1940449,Andrew Garfield
nm0941777,Sam Worthington
nm3478396,Luke Bracey
nm0252230,Chiwetel Ejiofor
nm0931324,Michael Kenneth Williams
nm1055413,Michael Fassbender
nm0000332,Don Cheadle
nm0645683,Sophie Okonedo
nm0660327,Irene Papas
nm0030516,Michael Ansara
nm0813463,Anatoliy Solonitsyn
nm0487553,Ivan Lapikov
nm0342458,Nikolay Grinko
nm0266029,Maria Falconetti
nm0798564,Eugene Silvain
nm0075551,André Berley
nm0000075,Spencer Tracy
nm0545298,Fredric March
nm0000147,Colin Firth
nm0001691,Geoffrey Rush
nm0000307,Helena Bonham Carter
nm0000126,Kevin Costner
nm0000024,John Gielgud
nm0368990,Rohini Hattangadi
nm0557859,Chiara Mastroianni
nm0000366,Catherine Deneuve
nm0001687,Gena Rowlands
nm0000643,Tom Skerritt
nm0000578,Anthony Perkins
nm0587256,Vera Miles
nm0001167,Shelley Duvall
nm0515950,Danny Lloyd
nm0000621,Kurt Russell
nm0000979,Wilford Brimley
